Labels,Text,Text_Tag
1,Says the Annies List political group supports third-trimester abortions on demand.,abortion
2,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,"energy,history,job-accomplishments"
3,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",foreign-policy
1,Health care reform legislation is likely to mandate free sex change surgeries.,health-care
2,The economic turnaround started at the end of my term.,"economy,jobs"
5,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,education
0,Jim Dunnam has not lived in the district he represents for years now.,candidates-biography
2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",ethics
2,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",jobs
3,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,"energy,message-machine-2014,voting-record"
3,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",elections
2,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.","economy,jobs,new-hampshire-2012,poverty"
1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget"
3,The economy bled $24 billion due to the government shutdown.,"economy,federal-budget,health-care"
0,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care
2,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections
5,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget
0,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",federal-budget
2,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water"
3,"Almost 100,000 people left Puerto Rico last year.","bankruptcy,economy,population"
1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income"
3,The United States has the highest corporate tax rate in the free world.,"corporations,taxes"
3,We just had the best year for the auto industry in America in history.,economy
2,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine"
0,Says Mitt Romney wants to get rid of Planned Parenthood.,"abortion,federal-budget,health-care"
1,I dont know who (Jonathan Gruber) is.,health-care
3,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism"
2,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography
1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism"
3,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs"
5,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising"
0,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","economy,labor,states,unions,workers"
1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation"
3,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes"
3,Says Mark Pryor votes with Obama 93 percent of the time.,"bipartisanship,voting-record"
5,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers"
5,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population"
5,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military
4,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture"
5,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt
1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court"
2,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,"military,voting-record"
4,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus"
4,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"abortion,pundits,women"
1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism"
2,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs"
4,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration"
1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget"
4,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military"
5,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,patriotism
0,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states"
0,"Maggie Hassan raised tuition, making it the highest in America.",education
1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history"
5,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs
0,"We have towns in West Texas that are out of water, that are having to truck in water.",water
2,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women"
2,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration
0,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",immigration
1,Sen. Obama's campaign announced that he's choosing his cabinet.,elections
3,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","elections,population"
1,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care"
3,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments
5,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court"
3,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","education,message-machine,taxes"
1,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits"
4,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality"
5,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments"
1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism"
0,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"criminal-justice,terrorism"
0,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"economy,financial-regulation,message-machine"
5,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs
0,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012"
3,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues"
3,The only time in our history when the debt has been higher than this was the end of World War II.,debt
3,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care"
5,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week"
1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court"
0,Says one out of three U.S. homeless men is a veteran.,"poverty,veterans"
1,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare"
2,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy
5,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women"
2,"At some point in their lives, 99% of women use birth control.",sexuality
1,"In the past 20 years, Egypt has made great strides in political and democratic reform.","foreign-policy,abc-news-week"
1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation"
5,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget
2,"In Rick Perrys Texas, we import nurses ... from other countries.",health-care
3,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health
3,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,"crime,criminal-justice"
0,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",taxes
1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes"
1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration
5,I belong to the AFL-CIO.,"candidates-biography,labor"
3,The insurance commissioner cant do squat about health care.,health-care
2,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,polls
0,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","foreign-policy,history,military"
0,Says David Jolly supports privatizing Social Security.,social-security
5,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population"
3,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education
5,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",guns
3,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,housing
1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,guns
4,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",transportation
3,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","income,message-machine-2014,poverty"
3,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","foreign-policy,history,terrorism"
1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","foreign-policy,military,terrorism"
5,Sen. Obama has always had a 100 percent prochoice rating.,abortion
2,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.","candidates-biography,economy,pensions,retirement,state-finances,wealth,workers"
5,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget"
2,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",jobs
1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","education,retirement"
3,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,"government-regulation,jobs,poverty,welfare"
2,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.","corporations,economy,health-care,public-health,workers"
2,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes"
0,Says Obama promised unemployment would never go above 8 percent.,jobs
5,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs"
3,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,"foreign-policy,israel,message-machine-2012"
3,"In a majority of states, you can now marry freely, but can still be fired for who you love.","civil-rights,gays-and-lesbians,states"
4,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,candidates-biography
4,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments
1,"About half of the presidents have been governors; half of them, senators.","congress,corrections-and-updates,elections,history,states"
3,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","economy,retirement"
3,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid
5,Says 88 Texas constables have died in the line of duty.,"crime,criminal-justice,history,public-safety,public-service"
3,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",education
3,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","jobs,labor,unions"
5,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",job-accomplishments
3,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,"education,technology,women"
1,The Air Force wants taxpayers to fund a fantasy football league.,"families,federal-budget,military"
4,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"islam,message-machine-2012"
2,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,"crime,guns"
3,Some neighborhood schools are closing.,"education,state-budget"
3,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,gays-and-lesbians
3,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes"
0,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.","economy,jobs"
5,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security
1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,"congress,terrorism"
5,Oregonians have an amazing no-cost way to fight abortion with free political donations,"abortion,campaign-finance"
4,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","foreign-policy,immigration,terrorism"
0,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","immigration,pundits"
3,Newt Gingrichs immigration plan offers a new doorway to amnesty.,immigration
1,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography
0,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","disability,labor,states,workers"
